band_name,fans,formed,origin,split,style,soup
Degial,6,2004,Sweden,2004,Death,Death Sweden
Detrimentum,6,1996,United Kingdom,-,Death,Death United Kingdom
Dimlight,6,2006,Greece,2006,Gothic,Gothic Greece
Disgorge (MEX),6,1994,Mexico,-,Brutal death Grindcore,Brutal death Grindcore Mexico
Doctor Cyclops,6,2007,Italy,2007,Doom Psychedelic rock,Doom Psychedelic rock Italy
Dragobrath,6,2004,Ukraine,-,Black,Black Ukraine
Dragonhammer,6,1999,Italy,1999,Power,Power Italy
Dysnomia,6,2007,Spain,-,Melodic death,Melodic death Spain
Earthship,6,2010,Germany,2010,Sludge,Sludge Germany
Eclipse Hunter,6,2004,Russia,-,Progressive power,Progressive power Russia
Elenium,6,1995,Finland,1995,Melodic death,Melodic death Finland
Embassy Of Silence,6,2007,Finland,-,Progressive Symphonic,Progressive Symphonic Finland
Empyrean,6,2003,Australia,2003,Symphonic death,Symphonic death Australia
Fórn,6,2012,USA,-,Doom Sludge,Doom Sludge USA
Fastkill,6,1996,Japan,1996,Thrash,Thrash Japan
Fimbulvet,6,2003,Germany,-,Pagan folk,Pagan folk Germany
Firespawn,6,2015,Sweden,2015,Death,Death Sweden
From The Vastland,6,2010,"Iran, Norway",-,Black,Black Iran Norway
Fuath,6,2015,United Kingdom,2015,Atmospheric black,Atmospheric black United Kingdom
Fuck I'm Dead,6,2000,Australia,-,Grindcore,Grindcore Australia
Furia,6,1997,France,1997,Death Heavy,Death Heavy France
Gevolt,6,2001,Israel,-,Industrial folk,Industrial folk Israel
Gigan,6,2006,USA,2006,Progressive death Technical death,Progressive death Technical death USA
Gjallarhorn,6,2003,Italy,-,Viking folk,Viking folk Italy
GOD · The Barbarian Horde,6,1993,Romania,1993,Atmospheric gothic Pagan folk,Atmospheric gothic Pagan folk Romania
Gonin-ish,6,1996,Japan,-,Extreme progressive,Extreme progressive Japan
Gorath,6,1995,Belgium,1995,Black,Black Belgium
Grey Widow,6,2013,United Kingdom,-,Doom Blackened sludge,Doom Blackened sludge United Kingdom
Heart Attack,6,2007,France,2007,Groove thrash,Groove thrash France
Hegemon,6,1996,France,-,Black,Black France
Hell Militia,6,2001,France,2001,Black,Black France
Hetroertzen,6,2001,Chile,-,Black,Black Chile
Holocausto,6,1985,Brazil,1985,Black Thrash Technical thrash,Black Thrash Technical thrash Brazil
Homo Iratus,6,1998,Greece,-,Death,Death Greece
Hope Drone,6,2011,Australia,2011,Atmospheric black Post-metal,Atmospheric black Post-metal Australia
Horse Latitudes,6,2009,Finland,-,Doom Sludge,Doom Sludge Finland
Icarus Witch,6,2004,USA,2004,Heavy,Heavy USA
Icycore,6,1998,Italy,-,Progressive,Progressive Italy
Immersed,6,2008,Canada,2008,Death,Death Canada
In Each Hand A Cutlass,6,2011,Singapore,-,Post-metal Progressive,Post-metal Progressive Singapore
Insidious Disease,6,2004,Norway,2004,Death,Death Norway
Interitus Dei,6,1994,Romania,-,Gothic,Gothic Romania
Isacaarum,6,1994,Czech Republic,1994,Death Grindcore,Death Grindcore Czech Republic
Jack Starr's Burning Starr,6,1984,USA,-,Heavy Us power,Heavy Us power USA
Jaguar,6,1979,United Kingdom,1979,Heavy New wave of british heavy,Heavy New wave of british heavy United Kingdom
JesusMartyr,6,1994,Argentina,-,Death Thrash,Death Thrash Argentina
Joel Grind,6,2012,USA,2012,Black Speed,Black Speed USA
Kall,6,2012,Sweden,-,Depressive black,Depressive black Sweden
Killing Touch,6,2008,Italy,2008,Melodic power,Melodic power Italy
King Goat,6,2012,United Kingdom,-,Psychedelic doom,Psychedelic doom United Kingdom
Kjeld,6,2004,The Netherlands,2004,Black,Black The Netherlands
Lîvi,6,1976,Latvia,2010,Hard rock Heavy,Hard rock Heavy Latvia
Lancer,6,2009,Sweden,2009,Speed Power,Speed Power Sweden
Lilitu,6,1999,USA,-,Death Gothic,Death Gothic USA
Lost Inside,6,2009,USA,2009,Depressive black Atmospheric black,Depressive black Atmospheric black USA
Magenta Harvest,6,2005,Finland,-,Melodic death,Melodic death Finland
Medicated,6,2005,Finland,2005,Melodic death,Melodic death Finland
Men Eater,6,2004,Portugal,-,Stoner Sludge,Stoner Sludge Portugal
Mesmerize,6,1988,Italy,1988,Heavy,Heavy Italy
Mistress,6,1999,United Kingdom,2008,Death Grindcore Sludge,Death Grindcore Sludge United Kingdom
Morne,6,2005,USA,2005,Post-metal Sludge,Post-metal Sludge USA
Morphinist,6,2013,Germany,-,Atmospheric black Post-metal,Atmospheric black Post-metal Germany
Mors Subita,6,1999,Finland,1999,Melodic death Thrash,Melodic death Thrash Finland
Mourning Caress,6,1998,Germany,2015,Depressive heavy,Depressive heavy Germany
Mourning Dawn,6,2002,France,2002,Depressive black,Depressive black France
Myrkvar,6,2003,The Netherlands,-,Black Folk,Black Folk The Netherlands
Nàttsòl,6,2006,Norway,2006,Black Folk,Black Folk Norway
Netra,6,2003,France,-,Black Trip- Hop Ambient,Black Trip- Hop Ambient France
NightCreepers,6,2003,France,2003,Folk Pagan black,Folk Pagan black France
Njiqahdda,6,2005,USA,-,Atmospheric black Psychedelic rock,Atmospheric black Psychedelic rock USA
Non Opus Dei,6,1997,Poland,1997,Black,Black Poland
Oblivion,6,2008,USA,-,Technical death,Technical death USA
Occultation,6,2010,USA,2010,Doom,Doom USA
Old Corpse Road,6,2008,United Kingdom,-,Black Folk,Black Folk United Kingdom
Onward,6,1999,USA,1999,Us power,Us power USA
Order Of Orias,6,2004,Australia,-,Black,Black Australia
Ossastorium,6,2001,Lithuania,2001,Technical death,Technical death Lithuania
Oz,6,1977,"Finland, Sweden",-,Heavy,Heavy Finland Sweden
Project Silence,6,2008,Finland,2008,Industrial,Industrial Finland
Sad,6,2005,Greece,-,Black,Black Greece
Sammath Naur,6,1999,Poland,1999,Avantgarde black Death,Avantgarde black Death Poland
Satanic Slaughter,6,1985,Sweden,-,Black Death Thrash,Black Death Thrash Sweden
Saviours,6,2004,USA,2004,Stoner,Stoner USA
Scamp,6,2003,Denmark,-,Thrash,Thrash Denmark
Scelerata,6,2002,Brazil,2002,Power,Power Brazil
Seven Sisters Of Sleep,6,2009,USA,-,Sludge Hardcore,Sludge Hardcore USA
Shadowgarden,6,1996,Sweden,1996,Gothic Gothic rock,Gothic Gothic rock Sweden
Silent Opera,6,2007,France,-,Symphonic gothic,Symphonic gothic France
Sithu Aye,6,2011,United Kingdom,2011,Progressiveinstrumental,Progressiveinstrumental United Kingdom
Skeletal Spectre,6,2008,Sweden,2014,Death Doom,Death Doom Sweden
Skyward,6,2000,Finland,2000,Symphonic power,Symphonic power Finland
Smothered,6,2010,Sweden,-,Death,Death Sweden
Sonne Adam,6,2007,Israel,2007,Death,Death Israel
Sorrows Path,6,1993,Greece,-,Power Doom,Power Doom Greece
Soul Stealer,6,2003,Lithuania,2003,Heavy Power,Heavy Power Lithuania
StarGazer,6,1995,Australia,-,Avantgarde black Death,Avantgarde black Death Australia
Stench,6,2007,Sweden,2007,Death,Death Sweden
Steve Grimmett's Grim Reaper,6,2006,United Kingdom,-,Heavy,Heavy United Kingdom
Supreme Pain,6,2006,The Netherlands,2006,Death,Death The Netherlands
Svarti Loghin,6,2005,Sweden,-,Black Neofolk,Black Neofolk Sweden
Take Over And Destroy,6,2008,USA,2008,Blackened sludge,Blackened sludge USA
The Antichrist Imperium,6,2010,United Kingdom,-,Black Death,Black Death United Kingdom
The Disciples Of Zoldon,6,2005,New Zealand,2005,Death Doom,Death Doom New Zealand
The Equinox Ov The Gods,6,1990,Sweden,-,Doom Gothic,Doom Gothic Sweden
The Funeral Orchestra,6,2002,Sweden,2002,Funeral doom,Funeral doom Sweden
The Lamp Of Thoth,6,2006,United Kingdom,-,Doom,Doom United Kingdom
The Levitation Hex,6,2010,Australia,2010,Extreme progressive,Extreme progressive Australia
The Rain I Bleed,6,2008,Greece,-,Progressive symphonic,Progressive symphonic Greece
Throane,6,2016,France,2016,Industrial black,Industrial black France
Thy?,6,2002,USA,2012,Progressive Metalcore,Progressive Metalcore USA
Trist (CZE),6,2003,Czech Republic,2003,Depressive black,Depressive black Czech Republic
Triumph,6,1975,Canada,-,Hard rock Progressive rock,Hard rock Progressive rock Canada
Troldhaugen,6,2008,Australia,2008,Experimental folk,Experimental folk Australia
Twins Crew,6,2007,Sweden,-,Heavy Power,Heavy Power Sweden
Twinspirits,6,2002,Italy,2002,Progressive,Progressive Italy
Uncanny,6,1989,Sweden,-,Death,Death Sweden
Utstøtt,6,2013,USA,2013,Atmospheric black,Atmospheric black USA
Vanhelga,6,2001,Sweden,-,Black,Black Sweden
Vanitas,6,1996,Austria,1996,Gothic,Gothic Austria
