band_name,fans,formed,origin,split,style,soup
Clutch,213,1990,USA,-,Hard rock Stoner rock,Hard rock Stoner rock USA
Crematory,211,1991,Germany,1991,Death Gothic,Death Gothic Germany
Gorod,211,1997,France,-,Technical death,Technical death France
Les Discrets,211,2003,France,2003,Black Shoegaze,Black Shoegaze France
October Tide,211,1995,Sweden,-,Death doom,Death doom Sweden
Periphery,211,2005,USA,2005,Progressive math Djent,Progressive math Djent USA
Seventh Wonder,211,2000,Sweden,-,Progressive,Progressive Sweden
Stone Sour,209,1992,USA,1992,Hard rock Alternative,Hard rock Alternative USA
Estatic Fear,208,1994,Austria,1999,Symphonic doom,Symphonic doom Austria
Malevolent Creation,208,1987,USA,1987,Death,Death USA
Esoteric,207,1992,United Kingdom,-,Psychedelic doom Funeral doom,Psychedelic doom Funeral doom United Kingdom
Hate Eternal,207,1996,USA,1996,Brutal death,Brutal death USA
The Foreshadowing,207,1999,Italy,-,Doom Gothic,Doom Gothic Italy
Atoma,206,2011,Sweden,2011,Post-metal Post-rock,Post-metal Post-rock Sweden
Deathstars,206,2000,Sweden,-,Industrial gothic,Industrial gothic Sweden
Luca Turilli's Rhapsody,206,2011,Italy,2011,Symphonic power,Symphonic power Italy
Iron Savior,205,1996,Germany,-,Power,Power Germany
Asphyx,204,1987,The Netherlands,1987,Death,Death The Netherlands
Control Denied,204,1995,USA,2001,Progressive,Progressive USA
Job For A Cowboy,203,2002,USA,2002,Deathcore Death,Deathcore Death USA
Heaven And Hell,201,2006,USA,2010,Heavy,Heavy USA
Thyrfing,200,1995,Sweden,1995,Viking black,Viking black Sweden
Ministry,199,1981,USA,-,Industrial Synth pop,Industrial Synth pop USA
Queens Of The Stone Age,199,1997,USA,1997,Stoner Stoner rock,Stoner Stoner rock USA
Slumber,199,2002,Sweden,2010,Melodic doom,Melodic doom Sweden
Threshold,199,1988,United Kingdom,1988,Progressive,Progressive United Kingdom
Grave,198,1986,Sweden,-,Death,Death Sweden
Naglfar,198,1992,Sweden,1992,Melodic black,Melodic black Sweden
Benighted,197,1998,France,-,Brutal death Blackened death Grindcore,Brutal death Blackened death Grindcore France
Lordi,195,1992,Finland,1992,Hard rock Glam,Hard rock Glam Finland
Alter Bridge,194,2004,USA,-,Hard rock Rock,Hard rock Rock USA
Doom:VS,194,2004,Sweden,2004,Funeral doom,Funeral doom Sweden
Finsterforst,194,2004,Germany,-,Pagan folk,Pagan folk Germany
Luca Turilli,192,1999,Italy,1999,Symphonic power,Symphonic power Italy
Shadows Fall,192,1996,USA,-,Modern thrash Melodic death,Modern thrash Melodic death USA
Steve Vai,191,1982,USA,1982,Progressive rock,Progressive rock USA
Twisted Sister,191,1972,USA,-,Hard rock Glam,Hard rock Glam USA
Suicidal Tendencies,190,1981,USA,1981,Crossover thrash Hardcore Punk,Crossover thrash Hardcore Punk USA
Whitechapel,189,2006,USA,-,Deathcore,Deathcore USA
Jeff Loomis,188,2005,USA,2005,Progressive Instrumental,Progressive Instrumental USA
Månegarm,188,1995,Sweden,-,Black Viking folk,Black Viking folk Sweden
Van Canto,188,2006,Germany,2006,Power A Cappella,Power A Cappella Germany
Nuclear Assault,187,1984,USA,-,Thrash,Thrash USA
A Forest Of Stars,186,2007,United Kingdom,2007,Atmospheric black,Atmospheric black United Kingdom
All Shall Perish,186,2002,USA,-,Deathcore,Deathcore USA
The Sword,186,2003,USA,2003,Doom Stoner,Doom Stoner USA
Caladan Brood,185,2008,USA,-,Atmospheric black Folk,Atmospheric black Folk USA
Galneryus,185,2001,Japan,2001,Power,Power Japan
Adagio,184,2000,France,-,Progressive Symphonic power,Progressive Symphonic power France
Akercocke,184,1996,United Kingdom,1996,Black Death Progressive death,Black Death Progressive death United Kingdom
Axel Rudi Pell,184,1989,Germany,-,Heavy Power,Heavy Power Germany
Edenbridge,184,1998,Austria,1998,Symphonic Progressive Power,Symphonic Progressive Power Austria
Inquisition,184,1988,"Colombia, USA",-,Black Thrash,Black Thrash Colombia USA
Chthonic,183,1995,Taiwan,1995,Melodic black Extreme power Folk,Melodic black Extreme power Folk Taiwan
Dark Angel,183,1981,USA,-,Bayarea thrash,Bayarea thrash USA
Parkway Drive,183,2002,Australia,2002,Metalcore,Metalcore Australia
Psycroptic,183,1999,Australia,-,Technical death,Technical death Australia
Poisonblack,182,2000,Finland,2000,Suomi Depressive heavy,Suomi Depressive heavy Finland
The Dillinger Escape Plan,182,1997,USA,-,Math Metalcore,Math Metalcore USA
Deafheaven,179,2010,USA,2010,Atmospheric black Post-metal Shoegaze,Atmospheric black Post-metal Shoegaze USA
Rapture,179,1998,Finland,-,Melodic death Doom,Melodic death Doom Finland
Kauan,178,2005,Russia,2005,Folk Doom Black,Folk Doom Black Russia
Into Eternity,177,1997,Canada,-,Melodic death Progressive,Melodic death Progressive Canada
Thy Catafalque,177,1998,"Hungary, United Kingdom",1998,Avantgarde black,Avantgarde black Hungary United Kingdom
Kylesa,173,2001,USA,2001,Sludge,Sludge USA
Cain's Offering,172,2005,Finland,-,Power,Power Finland
Cathedral,172,1989,United Kingdom,1989,Doom Stoner,Doom Stoner United Kingdom
Forbidden,172,1985,USA,-,Bayarea thrash,Bayarea thrash USA
Spawn Of Possession,172,1997,Sweden,1997,Brutal death Technical death,Brutal death Technical death Sweden
Soen,171,2004,Sweden,-,Progressive Alternative,Progressive Alternative Sweden
Dalriada,170,2006,Hungary,2006,Folk,Folk Hungary
Evoken,170,1992,USA,-,Death Funeral doom,Death Funeral doom USA
Misery Index,170,2001,USA,2001,Deathgrind,Deathgrind USA
August Burns Red,169,2003,USA,-,Technical metalcore,Technical metalcore USA
Disarmonia Mundi,169,2000,Italy,2000,Gothenburg,Gothenburg Italy
In Vain,168,2003,Norway,-,Death Progressive death,Death Progressive death Norway
Jorn,167,2000,Norway,2000,Heavy,Heavy Norway
Absu,166,1989,USA,-,Death Blackened thrash,Death Blackened thrash USA
Anorexia Nervosa,166,1995,France,1995,Symphonic black Industrial,Symphonic black Industrial France
Charon,166,1992,Finland,2011,Suomi Death,Suomi Death Finland
Suicide Silence,166,2002,USA,2002,Deathcore,Deathcore USA
Vomitory,166,1989,Sweden,2013,Death,Death Sweden
Born Of Osiris,165,2003,USA,2003,Progressive deathcore,Progressive deathcore USA
Sleep,165,1990,USA,-,Stoner,Stoner USA
Unearth,165,1998,USA,1998,Metalcore,Metalcore USA
Forest Of Shadows,164,1997,Sweden,-,Death doom Atmospheric doom,Death doom Atmospheric doom Sweden
Goatwhore,164,1997,USA,1997,Blackened thrash Blackened death,Blackened thrash Blackened death USA
Noumena,164,1998,Finland,-,Melodic death,Melodic death Finland
Stream Of Passion,164,2005,The Netherlands,2005,Symphonic progressive,Symphonic progressive The Netherlands
White Zombie,164,1985,USA,1998,Noise rock Alternative thrash Industrial,Noise rock Alternative thrash Industrial USA
Onslaught,162,1983,United Kingdom,1983,Thrash,Thrash United Kingdom
Thin Lizzy,162,1969,Ireland,-,Hard rock Heavy,Hard rock Heavy Ireland
Ulcerate,162,2000,New Zealand,2000,Technical death,Technical death New Zealand
Battlelore,161,1999,Finland,-,Folk Power,Folk Power Finland
Black Sun Aeon,161,2008,Finland,2008,Melodic death Doom,Melodic death Doom Finland
Lacrimas Profundere,161,1993,Germany,-,Doom Gothic,Doom Gothic Germany
Nocturnal Rites,161,1990,Sweden,1990,Power,Power Sweden
Heathen,160,1984,USA,-,Bayarea thrash,Bayarea thrash USA
Pelican,160,2001,USA,2001,Instrumental post-metal,Instrumental post-metal USA
Acid Bath,159,1990,USA,1997,Doom Sludge,Doom Sludge USA
Amberian Dawn,158,2006,Finland,2006,Symphonic power,Symphonic power Finland
Converge,158,1990,USA,-,Metalcore Hardcore Post-hardcore Punk,Metalcore Hardcore Post-hardcore Punk USA
Serenity,158,2001,Austria,2001,Symphonic power,Symphonic power Austria
Star One,158,2002,The Netherlands,-,Progressive,Progressive The Netherlands
Mar De Grises,157,2000,Chile,2000,Doom,Doom Chile
Wolfheart,157,2013,Finland,-,Melodic death,Melodic death Finland
Darkspace,156,1999,Switzerland,1999,Ambient black,Ambient black Switzerland
Legion Of The Damned,156,2005,The Netherlands,-,Thrash Death,Thrash Death The Netherlands
Liquid Tension Experiment,155,1998,USA,1998,Progressive Instrumental,Progressive Instrumental USA
Tarot,155,1985,Finland,-,Power,Power Finland
The Sins Of Thy Beloved,154,1996,Norway,1996,Symphonic gothic,Symphonic gothic Norway
The Vision Bleak,154,2000,Germany,-,Gothic,Gothic Germany
Fallujah,153,2007,USA,2007,Progressive death Technical deathcore,Progressive death Technical deathcore USA
Witherscape,153,2013,Sweden,-,Atmospheric death Extreme progressive,Atmospheric death Extreme progressive Sweden
Einherjer,152,1993,Norway,1993,Viking folk,Viking folk Norway
Primus,152,1984,USA,-,Alternative Experimental rock,Alternative Experimental rock USA
Sunn O))),152,1998,USA,1998,Drone doom Dark Ambient,Drone doom Dark Ambient USA
Airbourne,151,2001,Australia,-,Hard rock,Hard rock Australia
Decrepit Birth,151,2001,USA,2001,Brutal death Technical death,Brutal death Technical death USA
Grand Magus,151,1996,Sweden,-,Doom Heavy,Doom Heavy Sweden
Uriah Heep,151,1969,United Kingdom,1969,Hard rock,Hard rock United Kingdom
Flotsam And Jetsam,150,1983,USA,-,Thrash,Thrash USA
Blotted Science,149,2005,USA,2005,Progressive Instrumental,Progressive Instrumental USA
Limbonic Art,149,1993,Norway,-,Symphonic black Black,Symphonic black Black Norway
Shadow Gallery,149,1985,USA,1985,Progressive,Progressive USA
Fen,148,2006,United Kingdom,-,Atmospheric black Post-rock,Atmospheric black Post-rock United Kingdom
Skyfire,148,1995,Sweden,1995,Extreme power,Extreme power Sweden
Corrosion Of Conformity,146,1982,USA,-,Stoner,Stoner USA
Vanden Plas,146,1990,Germany,1990,Power Progressive,Power Progressive Germany
Halford,145,1999,United Kingdom,-,Heavy,Heavy United Kingdom
In Extremo,145,1995,Germany,1995,Medieval folk,Medieval folk Germany
Mg?a,145,2000,Poland,-,Black,Black Poland
Solution .45,145,2007,Sweden,2007,Melodic death,Melodic death Sweden
Whispered,145,2001,Finland,-,Extreme power,Extreme power Finland
Diamond Head,144,1976,United Kingdom,1976,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Hate,144,1990,Poland,-,Death,Death Poland
God Dethroned,143,1990,The Netherlands,1990,Death Thrash,Death Thrash The Netherlands
Vreid,143,2004,Norway,-,Black,Black Norway
In The Silence,142,2009,USA,2009,Progressive,Progressive USA
Static-X,142,1994,USA,2013,Nu Industrial Alternative,Nu Industrial Alternative USA
Nachtmystium,141,2000,USA,2000,Black Psychedelic black,Black Psychedelic black USA
Royal Hunt,141,1989,Denmark,-,Symphonic power,Symphonic power Denmark
Xasthur,141,1995,USA,1995,Depressive black,Depressive black USA
Suicidal Angels,140,2001,Greece,-,Thrash,Thrash Greece
Wolfchant,140,2003,Germany,2003,Pagan folk Melodic death,Pagan folk Melodic death Germany
ReVamp,139,2009,The Netherlands,2016,Symphonic Progressive,Symphonic Progressive The Netherlands
Sadus,139,1984,USA,1984,Death Technical thrash,Death Technical thrash USA
Blackfield,138,2000,Israel,-,Progressive rock Avantgarde rock,Progressive rock Avantgarde rock Israel
Nightrage,138,2000,"Greece, Sweden",2000,Melodic death,Melodic death Greece Sweden
The 69 Eyes,138,1990,Finland,-,Gothic Glam rock Gothic rock Punk rock,Gothic Glam rock Gothic rock Punk rock Finland
Pyramaze,137,2001,Denmark,2001,Progressive power,Progressive power Denmark
Serj Tankian,137,2007,USA,-,Alternative Hard rock,Alternative Hard rock USA
Gloryhammer,136,2010,United Kingdom,2010,Power,Power United Kingdom
Hour Of Penance,136,1999,Italy,-,Brutal death,Brutal death Italy
Kalisia,136,1994,France,1994,Progressive death,Progressive death France
Nargaroth,136,1996,Germany,-,Black,Black Germany
Trail Of Tears,136,1996,Norway,1996,Gothic,Gothic Norway
Sanctuary,135,1985,USA,-,Us power,Us power USA
Woods Of Desolation,135,2005,Australia,2005,Atmospheric black,Atmospheric black Australia
Agathodaimon,134,1995,Germany,2014,Symphonic black Extreme gothic,Symphonic black Extreme gothic Germany
Sinergy,134,1997,"Sweden, Finland",1997,Heavy Power,Heavy Power Sweden Finland
Sonic Syndicate,134,2002,Sweden,-,Gothenburg Metalcore,Gothenburg Metalcore Sweden
Wuthering Heights,134,1989,Denmark,1989,Progressive power Folk,Progressive power Folk Denmark
I,133,2006,Norway,-,Blackened heavy,Blackened heavy Norway
Heavenwood,132,1992,Portugal,1992,Death Gothic Gothic doom,Death Gothic Gothic doom Portugal
Pig Destroyer,132,1997,USA,-,Grindcore,Grindcore USA
Doro,131,1987,Germany,1987,Hard rock Heavy,Hard rock Heavy Germany
Incantation,131,1989,USA,-,Death,Death USA
Virgin Steele,131,1981,USA,1981,Heavy Symphonic,Heavy Symphonic USA
Anvil,130,1978,Canada,-,Heavy,Heavy Canada
Bal-Sagoth,130,1989,United Kingdom,1989,Symphonic black Power,Symphonic black Power United Kingdom
Crowbar,130,1989,USA,-,Sludge,Sludge USA
Mourning Beloveth,130,1992,Ireland,1992,Death doom,Death doom Ireland
Oranssi Pazuzu,130,2007,Finland,-,Psychedelic black,Psychedelic black Finland
Saor,130,2013,United Kingdom,2013,Atmospheric black Folk,Atmospheric black Folk United Kingdom
Ancient Bards,129,2006,Italy,-,Symphonic power,Symphonic power Italy
Dark Lunacy,129,1997,Italy,1997,Melodic death Symphonic,Melodic death Symphonic Italy
Fairyland,129,1998,France,-,Symphonic power,Symphonic power France
Gama Bomb,129,2002,Ireland,2002,Thrash,Thrash Ireland
In The Woods...,129,1991,Norway,-,Black Avantgarde Progressive,Black Avantgarde Progressive Norway
Leviathan,129,1998,USA,1998,Ambient black,Ambient black USA
Sybreed,129,2003,Switzerland,2013,Groove thrash Industrial,Groove thrash Industrial Switzerland
Spiritual Beggars,127,1992,Sweden,1992,Heavy Stoner,Heavy Stoner Sweden
In This Moment,126,2005,USA,-,Melodic metalcore Alternative,Melodic metalcore Alternative USA
Saint Vitus,126,1979,USA,1979,Doom,Doom USA
U.D.O.,126,1987,Germany,-,Heavy,Heavy Germany
Atreyu,125,1998,USA,1998,Melodic metalcore Alternative,Melodic metalcore Alternative USA
Communic,125,2003,Norway,-,Progressive,Progressive Norway
Godflesh,125,1988,United Kingdom,1988,Industrial,Industrial United Kingdom
Nightingale,125,1994,Sweden,-,Gothic Progressive,Gothic Progressive Sweden
Anubis Gate,124,2001,Denmark,2001,Progressive Power,Progressive Power Denmark
Deströyer 666,124,1994,"Australia, United Kingdom",-,Blackened thrash,Blackened thrash Australia United Kingdom
Europe,124,1979,Sweden,1979,Heavy Hard rock,Heavy Hard rock Sweden
Pentagram,124,1971,USA,-,Doom,Doom USA
Zyklon,124,1998,Norway,1998,Black Death,Black Death Norway
Aeon,122,1999,Sweden,-,Death,Death Sweden
Orden Ogan,122,1996,Germany,1996,Medieval folk Power,Medieval folk Power Germany
Skyclad,122,1990,United Kingdom,-,Folk,Folk United Kingdom
Stormlord,122,1991,Italy,1991,Symphonic black,Symphonic black Italy
X Japan,122,1982,Japan,-,Power,Power Japan
Aquilus,121,2000,Australia,2000,Atmospheric black Symphonic black Ambient,Atmospheric black Symphonic black Ambient Australia
Hail Spirit Noir,121,2010,Greece,-,Blackened progressive Psychedelic rock,Blackened progressive Psychedelic rock Greece
Wine From Tears,121,2002,Russia,2002,Death doom,Death doom Russia
Amesoeurs,120,2004,France,2009,Black Shoegaze,Black Shoegaze France
Kampfar,120,1994,Norway,1994,Black Folk,Black Folk Norway
Unisonic,120,2009,Germany,-,Melodic power Hard rock,Melodic power Hard rock Germany
Visions Of Atlantis,120,2000,Austria,2000,Symphonic,Symphonic Austria
Karnivool,119,1996,Australia,-,Alternative Progressive,Alternative Progressive Australia
OSI,119,2003,USA,2003,Progressive,Progressive USA
Ouroboros,119,2001,Australia,-,Technical death Thrash,Technical death Thrash Australia
Russian Circles,119,2004,USA,2004,Post-metal,Post-metal USA
Vulture Industries,119,1998,Norway,-,Avantgarde Progressive,Avantgarde Progressive Norway
Blue Öyster Cult,118,1967,USA,1967,Hard rock,Hard rock USA
Drowning Pool,118,1996,USA,-,Alternative,Alternative USA
Hellhammer,118,1982,Switzerland,1982,First wave of black,First wave of black Switzerland
Benediction,117,1989,United Kingdom,-,Death,Death United Kingdom
Blood Red Throne,117,1998,Norway,1998,Death,Death Norway
Gwar,117,1985,USA,-,Alternative Thrash Hardcore Punk,Alternative Thrash Hardcore Punk USA
Illnath,117,1997,Denmark,1997,Symphonic black,Symphonic black Denmark
Crimson Glory,116,1982,USA,-,Progressive heavy,Progressive heavy USA
James LaBrie,116,1998,Canada,1998,Progressive,Progressive Canada
Witchcraft,116,2000,Sweden,-,Stoner,Stoner Sweden
Darkest Hour,115,1995,USA,1995,Melodic death Metalcore,Melodic death Metalcore USA
Otep,115,2000,USA,-,Nu Alternative,Nu Alternative USA
Red Fang,115,2005,USA,2005,Stoner Stoner rock,Stoner Stoner rock USA
Sacred Reich,115,1985,USA,-,Speed Thrash,Speed Thrash USA
Solefald,115,1995,Norway,1995,Progressive black Avantgarde,Progressive black Avantgarde Norway
Solitude Aeturnus,115,1987,USA,-,Doom,Doom USA
Cruachan,114,1992,Ireland,1992,Celtic folk,Celtic folk Ireland
D.R.I.,114,1982,USA,-,Crossover thrash Hardcore Punk,Crossover thrash Hardcore Punk USA
Exhumed,114,1991,USA,1991,Deathgrind,Deathgrind USA
Forefather,114,1997,United Kingdom,-,Folk Black,Folk Black United Kingdom
The Ruins Of Beverast,114,2003,Germany,2003,Black Doom,Black Doom Germany
Vision Divine,114,1998,Italy,-,Power,Power Italy
Dokken,113,1977,USA,1977,Heavy,Heavy USA
Hollenthon,113,1994,Austria,-,Symphonic Melodic death,Symphonic Melodic death Austria
Mägo De Oz,113,1989,Spain,1989,Heavy Folk,Heavy Folk Spain
Tribulation,113,2001,Sweden,-,Thrash Death Black,Thrash Death Black Sweden
Battle Beast,112,2008,Finland,2008,Heavy,Heavy Finland
